,artist,year_inducted,artist_link,tombstone,birthplace,birth,death,lifespan,age_inducted
0,Roy Acuff,1962-01-01,https://countrymusichalloffame.org/artist/roy-acuff/,"Birth: September 15, 1903 - Death: November 23, 1992 ","  Maynardville, Tennessee ",1903-09-15,1992-11-23,89.19279656666461,58.29825389980629
1,Alabama,2005-01-01,https://countrymusichalloffame.org/artist/alabama/,,,,,,
2,Bill Anderson,2001-01-01,https://countrymusichalloffame.org/artist/bill-anderson/,"Birth: November 1, 1937 ","  Columbia, South Carolina ",,,,
3,Eddy Arnold,1966-01-01,https://countrymusichalloffame.org/artist/eddy-arnold/,"Birth: May 15, 1918 - Death: May 8, 2008 ","  Henderson, Tennessee ",1918-05-15,2008-05-08,89.98405169168429,47.63410610758606
4,Chet Atkins,1973-01-01,https://countrymusichalloffame.org/artist/chet-atkins/,"Birth: June 20, 1924 - Death: June 30, 2001 ","  Luttrell, Tennessee ",1924-06-20,2001-06-30,77.02827573461468,48.534877512885274
5,Gene Autry,1969-01-01,https://countrymusichalloffame.org/artist/gene-autry/,"Birth: September 29, 1907 - Death: October 2, 1998 ","  Tioga, Texas ",1907-09-29,1998-10-02,91.01076681930498,61.26066928136786
6,DeFord Bailey,2005-01-01,https://countrymusichalloffame.org/artist/deford-bailey/,"Birth: December 14, 1899 - Death: July 2, 1982 ","  Smith County, Tennessee ",1899-12-14,1982-07-02,82.54789626070351,105.05075395114206
7,Bobby Bare,2013-01-01,https://countrymusichalloffame.org/artist/bobby-bare/,"Birth: April 7, 1935 ","  Lawrence County, Ohio ",,,,
8,Johnny Bond,1999-01-01,https://countrymusichalloffame.org/artist/johnny-bond/,"Birth: June 1, 1915 - Death: June 12, 1978 ","  Enville, Oklahoma ",1915-06-01,1978-06-12,63.03209511488942,83.58830092335914
9,Bobby Braddock,2011-01-01,https://countrymusichalloffame.org/artist/bobby-braddock/,"Birth: August 5, 1940 ","  Lakeland, Florida ",,,,
10,Harold Bradley,2006-01-01,https://countrymusichalloffame.org/artist/harold-bradley/,"Birth: January 2, 1926 ","  Nashville, Tennessee ",,,,
11,Jerry Bradley,2019-01-01,https://countrymusichalloffame.org/artist/jerry-bradley/,"Birth: January 30, 1940 ","  Nashville, TN ",,,,
12,Owen Bradley,1974-01-01,https://countrymusichalloffame.org/artist/owen-bradley/,"Birth: October 21, 1915 - Death: January 7, 1998 ","  Westmoreland, Tennessee ",1915-10-21,1998-01-07,82.2166095128579,58.19968924755471
13,Rod Brasfield,1987-01-01,https://countrymusichalloffame.org/artist/rod-brasfield/,"Birth: August 22, 1910 - Death: September 12, 1958 ","  Smithville, Mississippi ",1910-08-22,1958-09-12,48.05848169366927,76.36296433191647
14,Garth Brooks,2012-01-01,https://countrymusichalloffame.org/artist/garth-brooks/,"Birth: February 7, 1962 ","  Tulsa, Oklahoma ",,,,
15,Brooks & Dunn,2019-01-01,https://countrymusichalloffame.org/artist/brooks-dunn/,,,,,,
